barcode_28	150	155	683	570
barcode_14	186	212	820	493
barcode_02	149	248	701	528
barcode_16	237	165	777	434
barcode_07	340	202	896	418
barcode_12	179	208	898	531
barcode_04	210	328	645	479
barcode_11	204	126	535	841
barcode_39	399	46	617	954
barcode_40	60	436	983	580
barcode_21	77	111	647	751
barcode_23	168	254	822	503
barcode_22	241	115	942	609
barcode_26	209	280	960	521
barcode_32	192	353	782	557
barcode_19	278	214	925	446
barcode_31	330	249	580	821
barcode_18	214	97	446	745
barcode_15	849	1503	1965	2108
barcode_01	245	323	531	872
barcode_29	367	1005	1202	2036
barcode_17	1047	788	1471	2088
barcode_03	303	387	503	802
barcode_13	684	705	1347	2147
barcode_06	824	679	1998	1210
barcode_38	980	729	1619	3344
barcode_10	277	424	937	1894
barcode_05	199	128	421	681
barcode_62	743	437	1600	1876
barcode_63	719	616	2020	1223
barcode_61	481	603	1785	1018
barcode_49	1148	1383	2537	1990
barcode_48	632	779	1754	1284
barcode_60	810	628	2362	1380
barcode_58	495	572	1780	1015
barcode_64	604	1268	1258	2673
barcode_70	729	445	1128	629
barcode_71	33	818	979	1225
barcode_65	333	327	652	1170
barcode_59	897	784	2257	1267
barcode_73	712	594	1817	1058
barcode_67	935	1306	1391	1985
barcode_66	32	454	768	649
barcode_72	806	710	1277	1626
barcode_57	837	741	1954	1569
barcode_43	1158	873	2321	1478
barcode_42	629	697	1648	1065
barcode_56	439	1046	1677	1474
barcode_54	1145	2156	1723	3275
barcode_68	27	699	728	958
barcode_69	28	941	697	1293
barcode_55	971	797	2299	1272
barcode_41	582	769	1892	1276
barcode_45	641	349	1648	1033
barcode_51	1730	1408	2834	1872
barcode_50	1002	1291	2437	1738
barcode_44	770	741	2313	1294
barcode_52	555	652	1625	993
barcode_46	650	584	1909	1010
barcode_47	658	591	1956	932
barcode_53	721	822	1241	1850
barcode_34	440	314	1342	664
barcode_20	303	810	1424	2078
barcode_08	904	1033	1317	2125
barcode_09	862	2396	1889	3646
barcode_35	818	825	1808	1131
barcode_37	791	606	2019	1258
barcode_36	732	508	1805	879
barcode_33	591	797	1695	1309
barcode_27	430	191	890	1198
barcode_25	211	353	1250	721
barcode_24	423	424	908	1501
barcode_30	411	483	1016	1539
